DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA A100 80GB PCIe [0x1f79];3;8;6;6;30000;1357.1;12;1;2;8;1;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;6;7;30000;610.4;14;8;1;2;1;-1;1;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;6;8;30000;640.3;15;8;1;3;1;0;-2;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;7;6;30000;693.0;15;8;1;2;1;-2;-2;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;7;7;30000;1598.3;12;2;1;8;1;-2;-1;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;7;8;30000;1655.7;9;2;1;8;1;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;8;6;30000;927.0;18;8;1;2;0;-2;-1;1;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;8;7;30000;992.7;14;8;1;3;0;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;8;8;8;30000;1018.8;12;8;1;5;0;0;-1;0;0;1;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;4;4;30000;383.0;14;9;1;6;1;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;4;5;30000;415.7;14;9;1;4;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;4;7;30000;1064.8;9;2;1;4;1;1;1;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;4;9;30000;1171.9;9;1;2;8;1;0;-2;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;4;13;30000;458.4;10;9;1;2;0;1;0;0;0;1;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;5;4;30000;473.4;14;9;1;7;1;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;5;5;30000;1110.0;12;2;1;3;1;0;0;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;5;7;30000;536.2;18;9;1;4;0;-2;-1;0;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;5;9;30000;1370.4;9;2;1;2;1;-1;0;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;7;4;30000;631.7;14;9;1;1;1;-1;-1;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;7;5;30000;669.5;16;9;1;2;1;-1;-2;0;1;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;7;7;30000;720.4;15;9;1;4;1;1;-2;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;9;4;30000;902.9;24;9;1;7;0;-2;0;0;0;1;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;9;5;30000;839.7;16;9;1;4;1;0;-2;0;0;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;9;9;30000;1273.6;14;9;1;9;0;1;-1;0;1;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;9;16;30000;1169.1;10;9;1;6;0;1;-1;1;1;1;1;0;1;2;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;9;22;30000;1407.5;10;9;1;2;0;-2;1;0;1;1;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;9;32;30000;1419.7;12;9;1;3;0;-1;-1;0;1;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;13;4;30000;1098.6;17;9;1;3;0;-1;0;1;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;16;9;30000;1970.9;12;9;1;2;1;-1;-2;0;1;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;16;16;30000;1587.4;2;1;8;8;0;-2;-1;0;0;0;0;0;2;1;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;16;22;30000;1857.2;8;9;1;2;0;-1;0;0;1;0;1;1;1;1;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;22;9;30000;2235.7;15;9;1;2;0;1;-2;1;0;0;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;22;16;30000;2797.0;10;9;1;5;0;-2;-2;1;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;22;22;30000;2888.7;20;9;1;2;1;0;1;0;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;22;32;30000;3158.5;15;9;1;5;0;1;-2;1;1;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;32;9;30000;2888.7;13;9;1;4;0;1;-1;1;1;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;32;22;30000;3611.4;20;9;1;4;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;9;32;32;30000;4032.4;12;9;1;9;0;-1;-2;1;1;1;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;10;4;4;30000;776.8;12;1;2;4;0;-2;-1;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;10;4;10;30000;1154.3;10;1;2;6;0;0;-2;0;0;1;1;1;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;10;10;4;30000;1002.0;24;10;1;5;0;1;1;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;10;10;10;30000;1090.2;3;10;1;3;0;-2;-1;1;0;0;1;1;1;2;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;4;4;30000;966.2;16;1;2;5;0;1;1;0;0;0;1;1;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;4;5;30000;3322.9;14;13;1;6;1;0;0;0;1;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;4;7;30000;1495.0;10;2;1;10;1;1;0;0;0;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;4;9;30000;1363.3;9;2;1;2;0;0;-1;1;0;1;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;4;13;30000;758.1;7;13;1;5;1;1;2;0;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;4;17;30000;786.1;4;13;1;2;1;-1;2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;4;32;30000;597.6;2;13;1;5;1;-1;2;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;5;4;30000;1295.5;9;1;3;13;1;-1;-1;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;5;5;30000;1252.8;14;3;1;8;1;0;1;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;5;7;30000;555.4;4;13;1;12;0;1;-1;1;1;1;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;5;13;30000;1527.0;10;3;1;9;0;-1;-1;0;0;1;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;5;17;30000;1126.5;14;2;2;5;0;-1;0;0;1;0;1;0;0;1;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;13;5;32;30000;1314.0;7;2;2;4;1;0;0;0;1;0;1;0;2;2;0;0
