DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 80GB HBM3 [0x658e];3;9;4;5;30000;0;12;9;1;2;1;-1;0;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;4;7;30000;0;11;9;1;4;1;-1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;4;9;30000;0;11;8;1;3;9;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;4;13;30000;0;12;9;1;7;9;0;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;5;4;30000;0;10;9;1;8;1;1;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;5;5;30000;0;10;9;1;7;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;5;7;30000;0;10;8;1;2;9;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;5;9;30000;0;10;9;1;5;1;1;-1;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;7;4;30000;0;13;9;1;4;1;-1;1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;7;5;30000;0;9;8;1;9;1;0;2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;7;7;30000;0;9;8;1;4;1;1;2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;9;4;30000;0;17;9;1;6;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;9;5;30000;0;15;9;1;5;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;9;9;30000;0;13;9;1;6;1;1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;9;16;30000;0;19;9;1;8;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;9;22;30000;0;7;9;1;4;1;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;9;32;30000;0;20;9;1;2;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;13;4;30000;0;13;9;1;6;1;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;16;9;30000;0;16;9;1;7;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;16;16;30000;0;10;8;1;2;1;-2;3;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;16;22;30000;0;15;9;1;3;1;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;22;9;30000;0;18;9;1;3;1;0;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;22;16;30000;0;12;9;1;3;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;22;22;30000;0;17;9;1;6;1;1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;22;32;30000;0;23;9;1;5;1;0;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;10;4;4;30000;0;10;10;1;6;1;0;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;10;4;10;30000;0;11;8;1;5;10;-2;3;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;10;10;4;30000;0;14;10;1;9;1;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;10;10;10;30000;0;16;10;1;2;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;4;4;30000;0;9;8;1;12;1;1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;4;5;30000;0;10;8;1;5;13;0;2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;4;7;30000;0;10;8;1;13;1;-1;5;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;4;9;30000;0;12;8;1;9;13;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;4;13;30000;0;6;8;1;4;13;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;4;17;30000;0;10;8;1;11;13;1;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;4;32;30000;0;12;8;1;7;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;5;4;30000;0;8;8;1;9;1;-2;2;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;5;5;30000;0;9;8;1;7;1;1;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;5;7;30000;0;9;8;1;10;1;1;-2;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;5;13;30000;0;9;8;1;3;13;-1;3;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;5;17;30000;0;10;8;1;2;1;-2;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;5;32;30000;0;5;8;1;5;1;1;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;7;4;30000;0;11;8;1;10;1;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;7;5;30000;0;14;8;1;4;1;1;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;7;7;30000;0;12;8;1;12;1;-1;2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;7;13;30000;0;13;8;1;7;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;9;4;30000;0;14;8;1;8;1;1;2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;13;4;30000;0;17;13;1;10;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;13;5;30000;0;22;13;1;11;1;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;13;7;30000;0;20;13;1;11;13;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;13;13;13;30000;0;13;13;1;8;1;0;-1;0;0;0;1;0;1;2;0;0
